query,query_optimized
SELECT * FROM Professor WHERE department_id = 4;,SELECT * FROM Professor p WHERE p.department_id = 4 INDEX(p.department_id);
SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Rabat';,SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Rabat' INDEX(s.ville);
SELECT * FROM Classroom WHERE building_name = 'Building C' AND room_number = 102;,"SELECT * FROM Classroom c WHERE c.building_name = 'Building C' AND c.room_number = 102 INDEX(c.building_name, c.room_number);"
SELECT * FROM Department WHERE department_name = 'Computer Science';,SELECT * FROM Department d WHERE d.department_name = 'Computer Science' INDEX(d.department_name); 
SELECT * FROM Professor WHERE department_id = 4;,SELECT * FROM Professor p WHERE p.department_id = 4 INDEX(p.department_id);
SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.city = 'Rabat';,SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.city = 'Rabat' INDEX(s.city);
SELECT * FROM Classroom WHERE building_name = 'Building C' AND room_number = 102;,"SELECT * FROM Classroom c WHERE c.building_name = 'Building C' AND c.room_number = 102 INDEX(c.building_name, c.room_number);"
SELECT * FROM Department WHERE department_name = 'Computer Science';,SELECT * FROM Department d WHERE d.department_name = 'Computer Science' INDEX(d.department_name); 
SELECT * FROM Professor WHERE department_id = 2;,SELECT * FROM Professor p WHERE p.department_id = 2 INDEX(p.department_id);
SELECT * FROM Student WHERE graduation_year = 2023;,SELECT * FROM Student s WHERE s.graduation_year = 2023 INDEX(s.graduation_year);
SELECT * FROM Course WHERE course_code = 'CS101';,SELECT * FROM Course c WHERE c.course_code = 'CS101' INDEX(c.course_code);
SELECT * FROM Classroom WHERE capacity >= 50;,SELECT * FROM Classroom c WHERE c.capacity >= 50 INDEX(c.capacity);
SELECT * FROM Department WHERE department_head = 'John Doe';,SELECT * FROM Department d WHERE d.department_head = 'John Doe' INDEX(d.department_head);
SELECT * FROM Professor WHERE salary > 60000 AND department_id = 3;,"SELECT * FROM Professor p WHERE p.salary > 60000 AND p.department_id = 3 INDEX(p.salary, p.department_id);"
SELECT * FROM Student WHERE city = 'New York' AND graduation_year = 2022;,"SELECT * FROM Student s WHERE s.city = 'New York' AND s.graduation_year = 2022 INDEX(s.city, s.graduation_year);"
SELECT * FROM Enrollment WHERE course_id = 101 AND semester = 'Fall 2023';,"SELECT * FROM Enrollment e WHERE e.course_id = 101 AND e.semester = 'Fall 2023' INDEX(e.course_id, e.semester);"
SELECT * FROM Classroom WHERE building_name = 'Building B' AND room_number = 301 AND capacity >= 40;,"SELECT * FROM Classroom c WHERE c.building_name = 'Building B' AND c.room_number = 301 AND c.capacity >= 40 INDEX(c.building_name, c.room_number, c.capacity);"
SELECT * FROM Course WHERE department_id = 4 AND credits > 3;,"SELECT * FROM Course c WHERE c.department_id = 4 AND c.credits > 3 INDEX(c.department_id, c.credits);"
SELECT * FROM Professor WHERE department_id = 5 AND salary > 70000;,"SELECT * FROM Professor p WHERE p.department_id = 5 AND p.salary > 70000 INDEX(p.department_id, p.salary);"
SELECT * FROM Student WHERE major = 'Engineering' AND graduation_year = 2024;,"SELECT * FROM Student s WHERE s.major = 'Engineering' AND s.graduation_year = 2024 INDEX(s.major, s.graduation_year);"
SELECT * FROM Course WHERE credits >= 4 AND department_id = 2;,"SELECT * FROM Course c WHERE c.credits >= 4 AND c.department_id = 2 INDEX(c.credits, c.department_id);"
SELECT * FROM Classroom WHERE building_name = 'Building A' AND capacity >= 30 AND capacity <= 50;,"SELECT * FROM Classroom c WHERE c.building_name = 'Building A' AND c.capacity >= 30 AND c.capacity <= 50 INDEX(c.building_name, c.capacity);"
SELECT * FROM Department WHERE budget > 1000000;,SELECT * FROM Department d WHERE d.budget > 1000000 INDEX(d.budget);
SELECT * FROM Professor WHERE tenure_year <= 2010 AND salary < 60000;,"SELECT * FROM Professor p WHERE p.tenure_year <= 2010 AND p.salary < 60000 INDEX(p.tenure_year, p.salary);"
SELECT * FROM Enrollment WHERE semester = 'Spring 2024';,SELECT * FROM Enrollment e WHERE e.semester = 'Spring 2024' INDEX(e.semester);
"SELECT * FROM Classroom WHERE room_number IN (101,102,103);","SELECT * FROM Classroom c WHERE c.room_number IN (101, 102, 103) INDEX(c.room_number);"
SELECT * FROM Student WHERE graduation_year >= 2023 AND city = 'Los Angeles';,"SELECT * FROM Student s WHERE s.graduation_year >= 2023 AND s.city = 'Los Angeles' INDEX(s.graduation_year, s.city);"
SELECT * FROM Course WHERE department_id = 3 AND credits >= 3 AND credits <= 5;,"SELECT * FROM Course c WHERE c.department_id = 3 AND c.credits >= 3 AND c.credits <= 5 INDEX(c.department_id, c.credits);"
